"Title"	"Artist"	"Time"	"Date"	"Album"	"Composers"	"url"	"spotify_id"	"spotify_uri"
"J'orage"	"Ponteix"	"11:28pm"	2016-06-20	"J'orage"	" Mario Lepage"	"https://open.spotify.com/track/3Gr7uqRT2KSvdBlRWySymI"	"3Gr7uqRT2KSvdBlRWySymI"	"spotify:track:3Gr7uqRT2KSvdBlRWySymI"
"Que La Peine Passe"	"Mara Tremblay"	"11:33pm"	2016-06-20	"A La Maniere Des Anges"	" Mara Tremblay"	"https://open.spotify.com/track/6nE9B6Q3WFJt7xXRohxlbM"	"6nE9B6Q3WFJt7xXRohxlbM"	"spotify:track:6nE9B6Q3WFJt7xXRohxlbM"
"Slowdisco"	"Dear Criminals"	"11:36pm"	2016-06-20	"Strip"	" Frannie Holder, Charles Lavoie, Vincent Legault"	"https://open.spotify.com/track/6VSRsXOSlhXZ9HOr2tIECP"	"6VSRsXOSlhXZ9HOr2tIECP"	"spotify:track:6VSRsXOSlhXZ9HOr2tIECP"
"Strange Emotion"	"Jessy Lanza"	"11:42pm"	2016-06-20	"Pull My Hair Back"	" Jessy Lanza, Jeremy Greenspan"	"https://open.spotify.com/track/2zDfnGE4rOMpULUDEuqqNi"	"2zDfnGE4rOMpULUDEuqqNi"	"spotify:track:2zDfnGE4rOMpULUDEuqqNi"
"Believe With Your Eyes"	"Skim Milk"	"11:46pm"	2016-06-20	"Ghosts Of Jazz"	"Skim Milk"	NA	NA	NA
"Time"	"Peirson"	"11:51pm"	2016-06-20	"Wild Ones"	" Peirson Ross"	NA	NA	NA
"Myth Me"	"Gonzales, Kaiser Quartett"	"11:55pm"	2016-06-20	"Chambers"	"Gonzales"	"https://open.spotify.com/track/7kJOQD7eXsOIwFjgNqkQgv"	"7kJOQD7eXsOIwFjgNqkQgv"	"spotify:track:7kJOQD7eXsOIwFjgNqkQgv"
"Reflection N1"	"Metric"	"11:58pm"	2016-06-20	"Synthetica Reflections"	" James Shaw, Joules Key Scott, Josh Winstead, Emily Haines"	NA	NA	NA
"Migrations"	"Tend&See"	"10pm"	2016-06-21	"Migrations"	" Faye Mallett, Melissa Bandura"	NA	NA	NA
"Arrow"	"Folly And The Hunter"	"10:03pm"	2016-06-21	"Awake"	" Christopher Fox, Nick Vallee, Phil Creamer, Laurie Torres"	"https://open.spotify.com/track/7qj1YJk0niiDxPCWbJe4V6"	"7qj1YJk0niiDxPCWbJe4V6"	"spotify:track:7qj1YJk0niiDxPCWbJe4V6"
"Cold Creeps"	"Owl John"	"10:07pm"	2016-06-21	"Cold Creeps (Single)"	"Owl John"	"https://open.spotify.com/track/4h2FJSC9rWdTl6xkytTR45"	"4h2FJSC9rWdTl6xkytTR45"	"spotify:track:4h2FJSC9rWdTl6xkytTR45"
